aX,aY,aZ,gX,gY,gZ
0.958,0.072,-0.045,-15.259,-3.174,5.005
0.954,-0.081,-0.140,-7.996,2.686,-3.296
0.982,-0.185,-0.167,-1.587,0.977,-6.226
0.987,-0.193,-0.256,2.075,-1.282,-2.747
0.975,-0.161,-0.233,4.211,-6.897,2.808
0.978,-0.062,-0.111,4.089,-13.855,10.925
0.961,0.017,-0.008,2.747,-16.785,16.785
0.939,0.121,0.042,1.587,-15.869,20.325
0.946,0.156,0.029,3.174,-12.207,18.494
0.980,0.022,0.006,8.728,-8.118,9.644
1.032,-0.171,-0.019,15.747,-3.906,2.563
1.058,-0.329,-0.038,17.578,-2.075,2.869
1.062,-0.407,-0.036,4.944,-7.935,22.461
1.000,-0.273,0.030,-5.371,-15.381,35.522
0.955,-0.155,0.029,-17.029,-22.888,47.241
0.884,0.007,-0.046,-29.297,-31.555,57.556
0.788,0.238,-0.081,-40.833,-45.166,66.284
0.676,0.591,0.005,-52.185,-59.937,70.740
0.559,0.931,0.181,-57.068,-60.730,65.674
0.585,0.946,0.071,-43.945,-39.490,42.542
0.708,0.501,0.034,-15.625,-22.034,5.920
0.927,-0.125,-0.092,24.963,0.732,-24.170
1.102,-0.605,-0.232,66.162,22.217,-29.541
1.202,-0.886,-0.329,71.228,8.728,15.320
1.141,-0.605,-0.300,34.668,-21.729,48.950
0.928,-0.119,-0.088,-8.911,-55.481,75.928
0.702,0.446,0.316,-37.292,-81.421,87.891
0.594,1.040,0.621,-50.903,-81.909,85.510
0.576,1.402,0.736,-52.124,-56.885,62.439
0.624,1.310,0.664,-41.443,-20.996,22.888
0.760,0.800,0.431,-23.010,13.611,-15.686
0.947,0.188,0.197,-7.874,35.645,-38.757
1.093,-0.251,-0.105,-5.920,41.687,-34.912
1.159,-0.346,-0.244,-15.686,29.480,-17.700
1.126,-0.199,-0.323,-32.898,9.460,0.732
0.954,0.269,-0.256,-45.776,-9.399,19.714
0.828,0.715,0.021,-49.011,-22.583,6.531
0.758,0.796,0.304,-20.386,-0.305,-23.987
0.866,0.535,0.060,1.160,27.344,-47.974
0.961,0.280,-0.234,14.893,46.875,-61.218
1.056,0.014,-0.439,18.555,50.232,-63.354
1.184,-0.295,-0.574,16.907,39.856,-60.730
1.215,-0.395,-0.519,7.629,19.531,-48.889
1.179,-0.256,-0.331,-3.418,-2.014,-28.381
1.106,-0.017,-0.143,-12.878,-14.404,-11.047
1.048,0.156,-0.076,-17.700,-14.954,-6.897
1.010,0.192,-0.103,-16.602,-10.437,-12.817
0.986,0.195,-0.136,-15.259,-7.202,-17.517
0.975,0.224,-0.132,-16.724,-6.714,-18.250
0.943,0.304,-0.135,-19.104,-8.057,-16.602
0.912,0.380,-0.097,-15.930,-9.521,-17.334
0.962,0.232,0.081,12.695,-4.211,-29.114
1.019,0.156,0.106,19.104,0.793,-33.813
1.066,0.026,0.079,14.648,4.028,-37.231
1.106,-0.090,0.007,7.812,5.859,-35.645
1.082,-0.057,-0.064,-0.183,6.165,-27.588
1.018,0.080,-0.008,-6.592,2.686,-18.127
2.133,-0.010,0.564,-3.479,-36.926,-63.477
2.211,-0.104,0.590,-4.761,-24.353,-69.641
2.269,-0.219,0.579,-10.254,-10.132,-68.909
2.292,-0.281,0.579,-17.761,0.183,-59.509
2.264,-0.287,0.560,-21.973,9.766,-45.532
2.216,-0.251,0.517,-21.545,18.860,-31.067
2.217,-0.261,0.500,-17.761,25.940,-18.982
2.147,-0.260,0.468,-14.160,33.936,-8.423
1.916,-0.090,0.368,-1.221,39.001,15.686
1.885,-0.059,0.480,-0.793,32.715,17.700
1.843,-0.053,0.624,-9.766,38.086,10.559
1.796,-0.104,0.551,-16.663,59.875,1.892
1.761,-0.136,0.292,-23.682,81.116,0.366
1.685,-0.181,0.004,-35.217,52.002,20.325
1.573,0.178,-0.051,-64.392,18.311,30.701
1.549,0.306,0.029,-79.895,-2.991,18.860
1.417,0.309,0.072,-89.417,-5.554,2.502
1.239,0.410,0.133,-90.454,1.282,2.136
1.098,0.573,0.149,-60.730,39.978,4.211
1.018,0.538,-0.295,-37.354,59.204,-7.812
1.024,0.327,-0.523,-14.771,68.726,-18.555
1.051,0.060,-0.603,3.174,66.528,-25.085
1.091,-0.209,-0.628,19.470,59.448,-27.161
1.089,-0.478,-0.720,32.959,54.321,-21.606
0.948,-0.604,-0.824,34.607,45.532,-7.812
0.737,-0.604,-0.859,26.184,24.475,9.949
0.503,-0.605,-0.743,13.611,-3.052,25.330
0.187,-0.610,-0.536,8.423,-26.184,40.833
-0.105,-0.539,-0.371,11.902,-40.100,57.434
-0.364,-0.597,-0.127,30.518,-50.964,67.688
-0.454,-0.766,0.364,71.411,-62.378,71.411
-0.467,-0.908,0.889,156.006,-28.381,98.938
-0.719,-0.687,0.690,178.467,9.827,127.991
