aX,aY,aZ,gX,gY,gZ
0.134,-0.073,1.008,-1.343,-0.183,-0.122
0.135,-0.080,1.032,0.122,-1.038,0.305
0.133,-0.064,1.014,-0.732,0.305,1.404
0.129,-0.047,1.003,-1.038,0.610,1.892
0.130,-0.042,1.002,-0.610,0.000,1.526
0.128,-0.041,1.014,0.000,-0.671,0.732
0.129,-0.043,1.010,0.183,-0.732,-0.122
0.131,-0.056,1.000,0.244,-0.732,-0.916
0.136,-0.066,1.004,0.732,-1.343,-1.282
0.137,-0.073,1.016,1.465,-1.709,-1.099
0.135,-0.072,1.018,1.099,-1.221,-0.854
0.131,-0.071,1.016,0.854,-0.671,-0.732
0.245,-1.262,1.419,23.621,-6.897,21.484
0.270,-1.457,1.441,16.052,7.446,57.129
0.167,-1.421,1.369,-1.648,30.701,100.769
0.231,-1.422,0.828,-19.653,53.711,146.362
0.116,-1.302,0.766,-28.137,26.367,179.565
-0.026,-1.058,0.692,-36.255,18.799,216.858
-0.098,-0.707,0.560,-43.945,13.550,248.047
-0.197,-0.405,0.607,-48.218,0.183,263.123
-0.185,-0.216,0.710,-48.279,-15.686,263.184
-0.192,-0.114,0.855,-52.002,-24.109,258.057
-0.124,-0.073,1.026,-54.932,-28.992,251.587
-0.118,0.032,1.148,-60.913,-26.794,244.690
-0.177,0.253,1.219,-69.763,-19.043,236.694
-0.235,0.476,1.097,-71.777,-6.226,224.854
-0.203,0.672,0.945,-62.622,2.197,206.604
-0.179,0.759,1.032,-41.321,-0.854,183.044
-0.155,0.732,1.070,-20.142,-0.549,155.090
-0.111,0.693,0.991,-3.906,7.568,127.625
-0.081,0.664,0.998,9.033,9.460,104.248
-0.096,0.709,1.010,8.118,8.789,85.571
-0.068,0.705,0.928,3.784,10.803,63.538
-0.029,0.686,0.888,4.211,8.240,40.649
-0.007,0.605,0.921,19.836,2.625,15.625
-0.078,0.606,1.021,43.030,-2.869,-10.925
-0.001,0.782,1.004,56.702,1.221,-37.048
-0.109,0.960,0.986,59.875,8.911,-68.787
-0.249,0.906,0.981,58.960,4.761,-112.915
-0.213,0.718,0.931,51.941,1.221,-158.936
-0.266,0.625,0.918,33.752,-3.113,-195.312
-0.245,0.495,0.883,19.043,-9.094,-224.548
-0.259,0.258,0.909,14.893,-16.113,-254.517
-0.228,-0.040,0.927,5.615,-18.494,-278.259
-0.211,-0.379,0.924,5.188,-13.184,-293.030
-0.168,-0.690,1.015,25.696,-9.399,-298.401
-0.112,-0.923,1.249,43.091,-5.615,-285.706
-0.033,-1.089,1.281,34.302,7.751,-254.333
0.086,-1.314,1.056,16.479,26.611,-219.360
0.202,-1.559,0.902,10.864,35.278,-182.556
0.303,-1.724,0.867,16.418,24.963,-138.123
0.352,-1.752,0.963,18.616,5.310,-84.412
0.311,-1.675,0.979,17.212,-1.282,-26.733
0.274,-1.543,1.101,22.949,-1.953,25.452
0.360,-1.442,1.106,19.287,7.874,71.289
0.188,-1.228,1.234,-6.348,5.798,110.107
0.101,-1.050,1.160,-39.001,9.521,140.137
