aX,aY,aZ,gX,gY,gZ
-1.338,0.622,0.848,47.424,32.715,142.273
-1.366,0.649,0.857,45.349,39.673,135.803
-1.400,0.665,0.866,43.884,46.448,124.512
-1.435,0.682,0.870,43.091,54.504,112.732
-1.484,0.688,0.875,44.373,63.721,97.900
-1.486,0.709,0.876,47.729,73.730,85.388
-1.501,0.719,0.871,53.284,83.679,70.129
-1.541,0.725,0.861,53.711,95.276,49.316
-1.617,0.723,0.847,48.523,108.398,26.611
-1.683,0.719,0.825,45.532,120.605,4.333
-1.736,0.714,0.797,46.570,131.165,-16.724
-1.809,0.698,0.761,48.340,140.625,-40.100
-1.865,0.680,0.726,44.495,146.912,-64.697
-1.887,0.672,0.703,36.072,150.391,-89.905
-1.896,0.662,0.681,33.020,153.503,-115.234
-1.919,0.640,0.647,37.659,159.668,-142.761
-1.950,0.617,0.609,41.931,167.053,-170.715
-1.944,0.598,0.578,44.983,174.133,-198.669
-1.892,0.576,0.545,51.392,181.885,-228.027
-1.842,0.546,0.507,58.899,192.139,-260.254
-1.822,0.505,0.453,62.195,203.552,-296.326
-1.832,0.460,0.403,60.242,212.952,-335.144
-1.900,0.389,0.354,54.749,220.459,-376.404
-1.973,0.339,0.297,49.438,224.976,-413.086
-2.079,0.267,0.252,43.030,226.318,-451.782
-2.234,0.195,0.197,32.532,226.807,-491.089
-2.308,0.141,0.150,17.334,223.755,-525.208
-2.423,0.058,0.113,5.249,216.614,-569.092
-2.580,-0.027,0.077,-7.385,210.022,-610.107
-2.663,-0.103,0.046,-18.250,198.303,-641.052
-2.701,-0.177,0.035,-28.320,179.382,-670.349
-2.787,-0.260,0.018,-37.720,162.292,-701.904
-2.921,-0.354,0.007,-55.664,145.508,-733.032
-3.037,-0.436,0.016,-82.092,121.887,-763.123
-3.041,-0.577,0.065,-115.112,61.462,-764.282
